;hirkod;hirkod_post
523;15337603;15380063.0
524;15379460;15198338.0
525;15368236;15317864.0
526;15353353;15494174.0
527;15389472;15417020.0
528;15387182;15538375.0
529;15378360;15538787.0
530;15001379;14971065.0
531;15342696;15373612.0
532;15387474;15653425.0
533;15307741;15416102.0
534;15195025;15159045.0
535;15376029;14831427.0
536;15404081;15467693.0
537;15397235;15551443.0
538;15392310;14773805.0
539;15378225;14857043.0
540;15371276;15261622.0
541;15363445;15391904.0
542;15360920;15347374.0
543;15355165;15317832.0
544;15351762;15402016.0
545;15348853;15197178.0
546;15336273;14517145.0
547;15322208;14192609.0
548;15298019;15529402.0
549;15277244;15513571.0
550;15249776;14536603.0
551;15223350;15455843.0
